,iteration,loss,train_time,params,status
0,1,-0.9897120767662132,6.280215501785278,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 3.2210546856230513, 'gpu_id': 0, 'learning_rate': 0.03929234107467908, 'max_delta_step': 0.0, 'max_depth': 16, 'min_child_weight': 3.0, 'n_estimators': 400, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.27676431630277964, 'reg_lambda': 0.4094984198619721, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
1,2,-0.9896951468941547,9.151542901992798,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 1.448186643736169, 'gpu_id': 0, 'learning_rate': 0.037512827092902865, 'max_delta_step': 2.0, 'max_depth': 7, 'min_child_weight': 1.0, 'n_estimators': 900, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.4571578560702477, 'reg_lambda': 0.21034379118027013, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
2,3,-0.989715420650162,16.21666121482849,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 3.655513245559918, 'gpu_id': 0, 'learning_rate': 0.09709876273456274, 'max_delta_step': 6.0, 'max_depth': 17, 'min_child_weight': 5.0, 'n_estimators': 950, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.9689400305696966, 'reg_lambda': 0.14023489241731446, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
3,4,-0.989304835271896,8.334726572036743,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 3.385798625666694, 'gpu_id': 0, 'learning_rate': 0.013639361336809788, 'max_delta_step': 1.0, 'max_depth': 4, 'min_child_weight': 5.0, 'n_estimators': 850, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.9336354681580317, 'reg_lambda': 0.3447606084237326, 'subsample': 0.5, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
4,5,-0.9893188509977616,4.385521173477173,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 1.685117804319832, 'gpu_id': 0, 'learning_rate': 0.08257238849382635, 'max_delta_step': 6.0, 'max_depth': 12, 'min_child_weight': 7.0, 'n_estimators': 500, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.7180438434088184, 'reg_lambda': 0.9941536141065351, 'subsample': 0.2, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
5,6,-0.9897294363760278,3.8989951610565186,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 4.401139463663134, 'gpu_id': 0, 'learning_rate': 0.011423038958199475, 'max_delta_step': 4.0, 'max_depth': 7, 'min_child_weight': 5.0, 'n_estimators': 350, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.7253560511422281, 'reg_lambda': 0.09356346082447042, 'subsample': 0.30000000000000004, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
6,7,-0.9896934975696012,2.0743472576141357,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 4.588664598416281, 'gpu_id': 0, 'learning_rate': 0.05083801661925176, 'max_delta_step': 6.0, 'max_depth': 7, 'min_child_weight': 2.0, 'n_estimators': 200, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.6588375488290216, 'reg_lambda': 0.737239952968364, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
7,8,-0.989715420650162,2.455760955810547,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 7.717693863966694, 'gpu_id': 0, 'learning_rate': 0.03687419991145474, 'max_delta_step': 6.0, 'max_depth': 8, 'min_child_weight': 6.0, 'n_estimators': 250, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.8108309575528566, 'reg_lambda': 0.289485768989004, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
8,9,-0.9897294363760278,4.471256732940674,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 8.650847512595085, 'gpu_id': 0, 'learning_rate': 0.05489686434733459, 'max_delta_step': 5.0, 'max_depth': 7, 'min_child_weight': 6.0, 'n_estimators': 550, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.7933823760106681, 'reg_lambda': 0.7139851060541741, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
9,10,-0.989715420650162,7.691036939620972,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 4.752290932786077, 'gpu_id': 0, 'learning_rate': 0.03128810390662734, 'max_delta_step': 2.0, 'max_depth': 16, 'min_child_weight': 4.0, 'n_estimators': 550, 'num_class': 14, 'objective': 'multi:softmax', 'reg_alpha': 0.43739651458134154, 'reg_lambda': 0.17068832265046152, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000025E028A6550>}",ok
